19.02.2021 18:04 (EMOD) | name: COLMESH_PlatformEdge_01 pos: -0.000507 22.999105 76.111855 flags: 298 
19.02.2021 18:04 (EMOD) | name: COLMESH_PlatformEdge_02 pos: -0.000507 23.999107 45.199997 flags: 778 
19.02.2021 18:04 (EMOD) | name: COLMESH_PlatformEdge_03 pos: 0.000000 23.999105 -4.911843 flags: 810 
19.02.2021 18:04 (EMOD) | name: control_ceiling_ent_01 pos: -9.022438 -6.152136 -19.028746 flags: 5 
19.02.2021 18:04 (EMOD) | name: control_ceiling_ent_02 pos: -9.022438 -6.152136 -13.018848 flags: 5 
19.02.2021 18:04 (EMOD) | name: control_ceiling_ent_03 pos: 61.000820 -6.250617 -42.999607 flags: 5 
19.02.2021 18:04 (EMOD) | name: control_crawlspace_01 pos: -8.881920 -6.871939 -16.000000 flags: 4 
19.02.2021 18:04 (EMOD) | name: control_poly_03 pos: 35.250252 -4.999188 -41.250542 flags: 4 
19.02.2021 18:04 (EMOD) | name: control_poly_05 pos: 33.999748 -4.999188 -41.999466 flags: 4 
19.02.2021 18:04 (EMOD) | name: control_upper_01 pos: 53.000000 -10.000046 -36.500034 flags: 4 
19.02.2021 18:04 (EMOD) | name: cooridoor_plain_11 pos: 49.000034 -10.000002 -16.499981 flags: 4 
19.02.2021 18:04 (EMOD) | name: corr_station_lift_01 pos: -6.663302 11.301641 78.000320 flags: 4 
19.02.2021 18:04 (EMOD) | name: corr_station_lift_02 pos: -16.849892 10.905001 78.000237 flags: 4 
19.02.2021 18:04 (EMOD) | name: corridoor_plain_01 pos: 5.999748 -4.999188 -9.999468 flags: 4 
19.02.2021 18:04 (EMOD) | name: corridoor_plain_02 pos: 19.200001 -10.151990 26.799995 flags: 4 
19.02.2021 18:04 (EMOD) | name: corridoor_plain_03 pos: 5.999748 -4.999188 -9.999468 flags: 4 
19.02.2021 18:04 (EMOD) | name: corridoor_plain_04 pos: 54.000313 -4.999192 -37.999420 flags: 4 
19.02.2021 18:04 (EMOD) | name: corridoor_sec_778 pos: 11.127184 -4.999998 -2.000820 flags: 4 
19.02.2021 18:04 (EMOD) | name: corridoor_side_110 pos: 39.276909 -4.997654 -29.999249 flags: 4 
19.02.2021 18:04 (EMOD) | name: corridoor_side_111 pos: 30.000549 -4.997654 -20.723146 flags: 4 
19.02.2021 18:04 (EMOD) | name: crawlspace_452 pos: 73.123024 -6.875653 -22.000002 flags: 4 
19.02.2021 18:04 (EMOD) | name: debris pos: 104.000015 -3.698443 93.126709 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_732 pos: 72.000130 2.275002 13.000011 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_733 pos: 63.999664 1.750000 9.008301 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_734 pos: 72.000130 2.275002 13.399785 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_735 pos: 72.517807 2.275002 15.140963 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_736 pos: 73.741310 2.275002 19.140966 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_737 pos: 68.000099 2.275002 21.140955 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_738 pos: 64.000099 2.275002 21.140955 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_739 pos: 60.000103 2.275002 21.140955 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_740 pos: 60.000103 2.275002 21.140955 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_741 pos: 54.000137 2.275002 21.140955 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_742 pos: 55.482471 2.275002 19.140953 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_743 pos: 54.000137 2.275002 15.140956 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_745 pos: 56.000141 2.275002 14.140962 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_746 pos: 56.000141 2.275002 13.000011 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_747 pos: 54.000137 2.275002 1.999998 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_748 pos: 55.482471 2.275002 1.999998 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_751 pos: 52.758961 2.275002 -5.217000 flags: 4 
19.02.2021 18:04 (EMOD) | name: decorative_edge_752 pos: 72.000130 2.275002 2.734679 flags: 4 
19.02.2021 18:04 (EMOD) | name: door pos: 63.999992 2.000001 28.000250 flags: 4 
19.02.2021 18:04 (EMOD) | name: door_access_small01 pos: 14.149034 10.399840 109.949677 flags: 4 
19.02.2021 18:04 (EMOD) | name: door_access_small02 pos: 53.585529 -14.501638 99.999924 flags: 4 
19.02.2021 18:04 (EMOD) | name: door_access_small03 pos: 114.413467 -4.511816 104.003723 flags: 4 
19.02.2021 18:04 (EMOD) | name: doorway_68 pos: 75.000092 -14.337574 77.001335 flags: 4 
19.02.2021 18:04 (EMOD) | name: doorway_888 pos: 40.000145 15.651011 39.999905 flags: 4 
19.02.2021 18:04 (EMOD) | name: doorway_889 pos: 54.999828 15.649338 40.000072 flags: 4 
19.02.2021 18:04 (EMOD) | name: doorway_890 pos: 48.000092 15.647626 32.000156 flags: 4 
19.02.2021 18:04 (EMOD) | name: doorway_891 pos: 47.997887 15.652270 20.492628 flags: 4 
19.02.2021 18:04 (EMOD) | name: doorway_912 pos: 75.000092 -14.337574 42.999039 flags: 4 
19.02.2021 18:04 (EMOD) | name: duct_ex_01 pos: 51.961720 -2.249999 -0.200336 flags: 4 
19.02.2021 18:04 (EMOD) | name: duct_ex_102 pos: 76.261093 -2.249999 -0.200337 flags: 4 
19.02.2021 18:04 (EMOD) | name: eev_rocks05 pos: 97.171875 11.319715 206.508301 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_02 pos: 68.000099 3.402708 20.267467 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_03 pos: 72.000145 3.402708 20.267467 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_06 pos: 72.000145 3.402708 14.140974 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_07 pos: 64.000099 3.402708 20.267467 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_08 pos: 60.000103 3.402708 20.267467 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_10 pos: 69.000137 3.402708 14.140963 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_11 pos: 69.000137 3.402708 2.734690 flags: 4 
19.02.2021 18:04 (EMOD) | name: egg_support_12 pos: 59.000137 3.402708 2.734690 flags: 4 
